source,loc.correct,country_code,NAME_0,NAME_1,NAME_2,NAME_3
gadm,argentina_corrientes_capital,AR,Argentina,Corrientes,Capital,NA
gadm,argentina_corrientes_concepcion,AR,Argentina,Corrientes,Concepción,NA
gadm,argentina_corrientes_curuzu cuatia,AR,Argentina,Corrientes,Curuzú Cuatiá,NA
gadm,argentina_corrientes_empedrado,AR,Argentina,Corrientes,Empedrado,NA
gadm,argentina_corrientes_esquina,AR,Argentina,Corrientes,Esquina,NA
gadm,argentina_corrientes_general alvear,AR,Argentina,Corrientes,General Alvear,NA
gadm,argentina_corrientes_general paz,AR,Argentina,Corrientes,General Paz,NA
gadm,argentina_corrientes_goya,AR,Argentina,Corrientes,Goya,NA
gadm,argentina_corrientes_itati,AR,Argentina,Corrientes,Itatí,NA
gadm,argentina_corrientes_ituzaingo,AR,Argentina,Corrientes,Ituzaingó,NA
gadm,argentina_corrientes_lavalle,AR,Argentina,Corrientes,Lavalle,NA
gadm,argentina_corrientes_mburucuya,AR,Argentina,Corrientes,Mburucuyá,NA
gadm,argentina_corrientes_mercedes,AR,Argentina,Corrientes,Mercedes,NA
gadm,argentina_corrientes_monte caseros,AR,Argentina,Corrientes,Monte Caseros,NA
gadm,argentina_corrientes_paso libres,AR,Argentina,Corrientes,Paso de los Libres,NA
gadm,argentina_corrientes_saladas,AR,Argentina,Corrientes,Saladas,NA
gadm,argentina_corrientes_san cosme,AR,Argentina,Corrientes,San Cosme,NA
gadm,argentina_corrientes_san luis palmar,AR,Argentina,Corrientes,San Luis del Palmar,NA
gadm,argentina_corrientes_san martin,AR,Argentina,Corrientes,San Martín,NA
gadm,argentina_corrientes_san miguel,AR,Argentina,Corrientes,San Miguel,NA
gadm,argentina_corrientes_san roque,AR,Argentina,Corrientes,San Roque,NA
gadm,argentina_corrientes_santo tome,AR,Argentina,Corrientes,Santo Tomé,NA
gadm,argentina_corrientes_sauce,AR,Argentina,Corrientes,Sauce,NA
gadm,argentina_entre rios,AR,Argentina,Entre Ríos,NA,NA
gadm,argentina_entre rios_colon,AR,Argentina,Entre Ríos,Colón,NA
gadm,argentina_entre rios_concordia,AR,Argentina,Entre Ríos,Concordia,NA
gadm,argentina_entre rios_diamante,AR,Argentina,Entre Ríos,Diamante,NA
gadm,argentina_entre rios_federacion,AR,Argentina,Entre Ríos,Federación,NA
gadm,argentina_entre rios_federal,AR,Argentina,Entre Ríos,Federal,NA
gadm,argentina_entre rios_feliciano,AR,Argentina,Entre Ríos,Feliciano,NA
gadm,argentina_entre rios_gualeguay,AR,Argentina,Entre Ríos,Gualeguay,NA
gadm,argentina_entre rios_gualeguaychu,AR,Argentina,Entre Ríos,Gualeguaychú,NA
gadm,argentina_entre rios_isla,AR,Argentina,Entre Ríos,Isla,NA
gadm,argentina_entre rios_islas ibicuy,AR,Argentina,Entre Ríos,Islas del Ibicuy,NA
gadm,argentina_entre rios_la paz,AR,Argentina,Entre Ríos,La Paz,NA
