collection.string,collectioncode.gbif,institutioncode.gbif,index.herbariorum.or.working.code,organization,col.OBS
ATA_ATA,ATA,ATA,ATA,Atatürk Üniversitesi,NA
ATCC_ATCC,ATCC,ATCC,ATCC,American Type Culture Collection,NA
ATCH_ATCH,ATCH,ATCH,ATCH,Chinese Academy of Tropical Agricultural Sciences,NA
ATH_ATH,ATH,ATH,ATH,Goulandris Natural History Museum,NA
ATHU_ATHU,ATHU,ATHU,ATHU,National and Kapodistrian University of Athens,NA
ATHUM_ATHUM,ATHUM,ATHUM,ATHUM,National and Kapodistrian University of Athens,NA
AtlasFloraDanica_DBF-NHMD,AtlasFloraDanica,DBF-NHMD,AtlasFloraDanica,NA,not in IH (flora)
AU_AU,AU,AU,AU,Xiamen University,NA
AUA_AUA,AUA,AUA,AUA,Auburn University Museum of Natural History,NA
AUB_AUB,AUB,AUB,AUB,Andrews University,NA
AUBH_AUBH,AUBH,AUBH,AUBH,Athabasca University,NA
AUBSN_AUBSN,AUBSN,AUBSN,AUBSN,Russian Botanical Society,NA
AUCH_AUCH,AUCH,AUCH,AUCH,The American University in Cairo,NA
AUG_AUG,AUG,AUG,AUG,Augustana College,NA
AUGIE_AUGIE,AUGIE,AUGIE,AUGIE,Augustana College,NA
AUH_AUH,AUH,AUH,AUH,Agriculture University,NA
AUM_AUM,AUM,AUM,AUM,Auburn University at Montgomery,NA
AUMH_AUMH,AUMH,AUMH,AUMH,Agricultural University of Georgia,NA
AUR_AUR,AUR,AUR,AUR,Muséum des Volcans,NA
AURO_AURO,AURO,AURO,AURO,Auroville Foundation,NA
AUSCH_AUSCH,AUSCH,AUSCH,AUSCH,"Assam University, Silchar",NA
AUSERB_AUSERB,AUSERB,AUSERB,AUSERB,Regione Lazio Parco Monti Ausoni,NA
AUSTIN_AUSTIN,AUSTIN,AUSTIN,AUSTIN,US Forest Service - Humboldt-Toiyabe National Forest,NA
AUT_NA,AUT,NA,AUT,Muséum d'Histoire Naturelle,NA
AUV_AUV,AUV,AUV,AUV,Andhra University,NA
AV_AV,AV,AV,AV,Muséum Requien,NA
AVCH_AVCH,AVCH,AVCH,AVCH,City of Alexandria,NA
AVE_AVE,AVE,AVE,AVE,Universidade de Aveiro,NA
AVU_AVU,AVU,AVU,AVU,Vrije Universiteit,NA
Aw_Aw,Aw,Aw,Aw,Harvard University Herbaria,xylarium|not in IH
AWC_AWC,AWC,AWC,AWC,Arizona Western College,NA
NA_AWH,NA,AWH,AWH,Dr. Henri Van Heurck Museum,NA
AWH_AWH,AWH,AWH,AWH,Dr. Henri Van Heurck Museum,NA
AWKUM_AWKUM,AWKUM,AWKUM,AWKUM,Abdul Wali Khan University Mardan,NA
AWL_AWL,AWL,AWL,AWL,Abitibi Paper Company,NA
AYBY_AYBY,AYBY,AYBY,AYBY,Buckinghamshire County Museum Technical Centre,NA
AYDN_AYDN,AYDN,AYDN,AYDN,Adnan Menderes University,NA
AYR_AYR,AYR,AYR,AYR,South Ayrshire Council,NA
AZ_AZ,AZ,AZ,AZ,Museu Carlos Machado,NA
AZB_AZB,AZB,AZB,AZB,Universidade Dos Açores,NA
AZU_AZU,AZU,AZU,AZU,Universidade dos Açores,NA
AZUS_AZUS,AZUS,AZUS,AZUS,Citrus College,NA
Blettaucoll_B,Blettaucoll,B,B,"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin",NA
"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universitat Berlin_B","Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universitat Berlin",B,B,"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin",NA
"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin_B","Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin",B,B,"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin",NA
FMNH-B-Types_B,FMNH-B-Types,B,B,"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin",NA
HERB_B,HERB,B,B,"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universität Berlin",NA
