"","name","decimallongitude","decimallatitude","city","country","address","source","type","geocoding.precision.m","geocoding.issue","geocoding.source","inside.ptoected.area.WDPAID","pais"
"213","Alnwick Scientific and Mechanical Institution",-1.7059,55.4091,"Alnwick","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"United Kingdom"
"214","Alpengarten Patscherkofel",11.4511,47.211,"Innsbruck","AUT",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Austria"
"216","Altai State University, South-Siberian Botanical Garden",83.7757,53.3475,"Barnaul","RUS",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Russia"
"218","Alzahra University",31.1986,30.0598,"Tehran","IRN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Iran"
"220","Amathole Museum",27.3998,-32.8842,"King William's Town","ZAF",NA,"grbioorg","Museum",10,NA,"automatic",NA,"South Africa"
"221","Amber Museum",-70.6923,19.7966,"San Felipe de Puerto Plata","DOM",NA,"wikipedia","Museum",1000,NA,"CD",NA,"Dominican Republic"
"222","Amber World Museum",-69.8853,18.4847,"Santo Domingo","DOM",NA,"wikipedia","Museum",1000,NA,"CD",NA,"Dominican Republic"
"223","Ambrose Monell Cryo Collection, American Museum of Natural History",-73.974,40.7812,NA,"USA",NA,"grbioorg","Museum",10,"general_institution","TA",NA,"United States"
"226","American Museum of Natural History",-73.974,40.7813,NA,"USA",NA,"grbioorg","Museum",10,NA,"automatic",NA,"United States"
"227","American Museum of Natural History",-73.974,40.7813,NA,"USA",NA,"GBIF","Museum",10,NA,"automatic",NA,"United States"
"228","American Plant Life Society",NA,NA,"La Jolla","USA",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"United States"
"229","American Public Gardens Association (APGA)",-75.68742,39.86893,"Kennett Square","USA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United States"
"230","American Type Culture Collection",-77.5199,38.7523,"Manassas","USA",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"United States"
"232","American University of Beiruttural History Museum, Biology Department",35.48111,33.90113,"Beirut","LBN","Bliss Street","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Lebanon"
"233","Amherst College",-72.517,42.3709,"Amherst","USA",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"United States"
"234","Amherst College, Beneski Museum of Natural History",-72.5142,42.3721,"Amherst","USA",NA,"grbioorg","Museum",1000,NA,"AH",NA,"United States"
"237","Ampleforth College",-1.0868,54.2028,"Ampleforth","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",962,"United Kingdom"
"240","Amy BH Greenwell Ethnobotanical Garden",-155.91137,19.49078,"Captain Cook","USA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United States"
"244","Anadolu University, Faculty of Pharmacy",30.49919,39.79129,"Eskisehir","TUR","Yunusemre Kamps, Tepebasi","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Turkey"
"245","Anadolu University, Faculty of Sciences, Biology Department",30.4992,39.7913,"Eskisehir","TUR","Yunusemre Campus","indexherbariorum","Herbarium",1000,NA,"VZ",NA,"Turkey"
"247","Ancient House Museum",0.74703,52.4152,"Thetford","GBR",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"United Kingdom"
"249","Andalas University, Campus of Limau Manis, Biology Department",100.4579,-0.9136,"Padang","IDN","Limau Manis","indexherbariorum","Herbarium",1000,NA,"JA",NA,"Indonesia"
